
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:46:52) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:46:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:47:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:08) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
